id,пол,город,relation
8308,пол мужской,Санкт-Петербург,данные извлечь невозможно
8315,пол мужской,Санкт-Петербург,данные извлечь невозможно
8358,пол женский,Санкт-Петербург,4
8361,пол мужской,Москва,данные извлечь невозможно
8377,пол мужской,Москва,данные извлечь невозможно
8390,пол мужской,Гатчина,данные извлечь невозможно
8394,пол женский,город не указан,данные извлечь невозможно
8417,пол мужской,Санкт-Петербург,данные извлечь невозможно
8420,пол мужской,Biel / Bienne,данные извлечь невозможно
8495,пол мужской,Санкт-Петербург,данные извлечь невозможно
8529,пол мужской,Санкт-Петербург,данные извлечь невозможно
8549,пол мужской,Гатчина,данные извлечь невозможно
8576,пол мужской,Санкт-Петербург,данные извлечь невозможно
8598,пол женский,Москва,данные извлечь невозможно
8625,пол женский,Москва,данные извлечь невозможно
8684,пол мужской,Москва,данные извлечь невозможно
8727,пол мужской,город не указан,данные извлечь невозможно
8751,пол женский,Санкт-Петербург,данные извлечь невозможно
8777,пол мужской,Санкт-Петербург,данные извлечь невозможно
8781,пол мужской,Санкт-Петербург,данные извлечь невозможно
8784,пол мужской,Санкт-Петербург,данные извлечь невозможно
8790,пол мужской,Санкт-Петербург,данные извлечь невозможно
8805,пол мужской,Москва,данные извлечь невозможно
8837,пол мужской,Москва,данные извлечь невозможно
8876,пол женский,Санкт-Петербург,данные извлечь невозможно
8880,пол мужской,Санкт-Петербург,данные извлечь невозможно
8882,пол мужской,Санкт-Петербург,данные извлечь невозможно
8883,пол женский,Санкт-Петербург,данные извлечь невозможно
8937,пол мужской,Санкт-Петербург,данные извлечь невозможно
8942,пол женский,Санкт-Петербург,данные извлечь невозможно
8943,пол женский,Санкт-Петербург,данные извлечь невозможно
8944,пол женский,Санкт-Петербург,4
8954,пол женский,Санкт-Петербург,данные извлечь невозможно
8968,пол женский,Санкт-Петербург,данные извлечь невозможно
9002,пол мужской,Санкт-Петербург,данные извлечь невозможно
9038,пол женский,Санкт-Петербург,данные извлечь невозможно
9077,пол женский,Москва,данные извлечь невозможно
9088,пол мужской,Санкт-Петербург,данные извлечь невозможно
9091,пол мужской,Санкт-Петербург,данные извлечь невозможно
9092,пол мужской,Санкт-Петербург,данные извлечь невозможно
9100,пол мужской,Санкт-Петербург,7
9110,пол мужской,Санкт-Петербург,данные извлечь невозможно
9111,пол мужской,Санкт-Петербург,данные извлечь невозможно
9122,пол мужской,Санкт-Петербург,данные извлечь невозможно
9130,пол мужской,Орск,данные извлечь невозможно
9148,пол женский,Санкт-Петербург,данные извлечь невозможно
9179,пол мужской,Nuuk,данные извлечь невозможно
9200,пол мужской,Тольятти,данные извлечь невозможно
9246,пол мужской,Санкт-Петербург,данные извлечь невозможно
9247,пол мужской,Санкт-Петербург,данные извлечь невозможно
9259,пол мужской,Санкт-Петербург,4
9261,пол женский,Москва,данные извлечь невозможно
9262,пол мужской,Санкт-Петербург,данные извлечь невозможно
9275,пол мужской,Санкт-Петербург,данные извлечь невозможно
9318,пол женский,Москва,данные извлечь невозможно
9337,пол мужской,Санкт-Петербург,данные извлечь невозможно
9351,пол мужской,Москва,данные извлечь невозможно
9383,пол женский,Санкт-Петербург,данные извлечь невозможно
9398,пол женский,город не указан,данные извлечь невозможно
9420,пол мужской,Санкт-Петербург,4
9422,пол мужской,Санкт-Петербург,данные извлечь невозможно
